,name,country_code,pct_agreement_w_usa,pct_agreement_w_china,pct_agreement_w_russia,cluster,period
21,BELIZE,BLZ,38.83,68.82,62.74,1,1946-2025
22,BOLIVIA,BOL,44.86,76.26,72.16,1,1946-2025
23,BRAZIL,BRA,50.9,79.43,73.7,1,1946-2025
24,BARBADOS,BRB,43.39,76.06,72.91,1,1946-2025
25,BRUNEI DARUSSALAM,BRN,40.93,88.2,76.61,1,1946-2025
26,BHUTAN,BTN,36.5,76.45,72.88,1,1946-2025
27,BOTSWANA,BWA,38.38,74.85,71.14,1,1946-2025
28,CENTRAL AFRICAN EMPIRE,CAF,33.58,56.57,55.02,1,1946-2025
31,CHILE,CHL,54.02,75.75,70.37,1,1946-2025
32,CHINA,CHN,39.66,100.0,73.8,1,1946-2025
33,CÔTE D'IVOIRE,CIV,45.68,70.67,66.28,1,1946-2025
34,UNITED REPUBLIC OF CAMEROON,CMR,41.6,69.2,67.33,1,1946-2025
35,CONGO (DEMOCRATIC REPUBLIC OF),COD,34.84,54.26,52.68,1,1946-2025
36,CONGO (BRAZZAVILLE),COG,32.19,69.13,68.27,1,1946-2025
37,COLOMBIA,COL,47.94,76.96,72.69,1,1946-2025
38,COMOROS,COM,25.83,59.63,53.15,1,1946-2025
39,CAPE VERDE,CPV,33.15,75.46,71.8,1,1946-2025
40,COSTA RICA,CRI,51.86,71.11,67.5,1,1946-2025
41,CZECHOSLOVAKIA,CSK,34.61,69.74,96.09,1,1946-2025
42,CUBA,CUB,34.82,80.31,80.16,1,1946-2025
43,CYPRUS,CYP,49.11,72.36,77.1,1,1946-2025
45,GERMAN DEMOCRATIC REPUBLIC,DDR,27.31,75.77,99.3,1,1946-2025
47,DJIBOUTI,DJI,36.5,81.77,73.6,1,1946-2025
50,DOMINICAN REPUBLIC,DOM,47.48,68.33,64.52,1,1946-2025
51,ALGERIA,DZA,33.27,82.26,79.59,1,1946-2025
52,TANGANYIKA,EAT,40.43,60.38,74.19,1,1946-2025
54,ECUADOR,ECU,47.51,78.45,75.32,1,1946-2025
55,UNITED ARAB REPUBLIC,EGY,42.13,81.1,77.9,1,1946-2025
56,ERITREA,ERI,39.66,77.75,68.7,1,1946-2025
59,ETHIOPIA,ETH,39.61,77.81,77.54,1,1946-2025
61,FIJI,FJI,40.93,68.18,66.94,1,1946-2025
64,GABON,GAB,36.61,71.03,66.73,1,1946-2025
68,GHANA,GHA,41.37,76.29,74.66,1,1946-2025
69,GUINEA,GIN,36.22,75.81,73.78,1,1946-2025
70,GAMBIA,GMB,28.66,60.5,55.8,1,1946-2025
71,GUINEA-BISSAU,GNB,30.27,67.06,63.84,1,1946-2025
72,EQUATORIAL GUINEA,GNQ,25.16,45.67,43.02,1,1946-2025
74,GRENADA,GRD,33.87,62.89,57.96,1,1946-2025
75,GUATEMALA,GTM,52.17,67.84,63.92,1,1946-2025
76,GUYANA,GUY,42.53,79.95,78.19,1,1946-2025
77,HONDURAS,HND,50.52,69.7,64.63,1,1946-2025
79,HAITI,HTI,43.59,66.07,61.95,1,1946-2025
80,HUNGARY,HUN,48.2,66.58,85.66,1,1946-2025
81,INDONESIA,IDN,41.6,81.23,79.01,1,1946-2025
82,INDIA,IND,41.08,78.79,78.27,1,1946-2025
84,IRAN,IRN,40.88,78.55,75.46,1,1946-2025
85,IRAQ,IRQ,33.5,69.91,68.08,1,1946-2025
89,JAMAICA,JAM,44.25,77.9,74.97,1,1946-2025
90,JORDAN,JOR,41.04,80.46,75.94,1,1946-2025
92,KAZAKHSTAN,KAZ,54.03,77.86,77.51,1,1946-2025
93,KENYA,KEN,38.83,77.75,75.09,1,1946-2025
94,KYRGYZSTAN,KGZ,38.59,68.28,65.02,1,1946-2025
95,DEMOCRATIC KAMPUCHEA,KHM,33.13,71.94,63.4,1,1946-2025
97,SAINT KITTS AND NEVIS,KNA,29.96,46.0,41.47,1,1946-2025
99,KUWAIT,KWT,40.11,81.3,78.02,1,1946-2025
100,LAO PEOPLE's DEMOCRATIC REPUBLIC,LAO,33.21,78.14,77.11,1,1946-2025
101,LEBANON,LBN,39.46,76.84,71.85,1,1946-2025
102,LIBERIA,LBR,43.18,57.99,54.6,1,1946-2025
103,LIBYAN ARAB REPUBLIC,LBY,35.58,80.52,77.43,1,1946-2025
104,SAINT LUCIA,LCA,38.0,72.95,66.7,1,1946-2025
106,CEYLON,LKA,41.14,81.55,77.61,1,1946-2025
107,LESOTHO,LSO,36.39,70.3,67.56,1,1946-2025
111,MOROCCO,MAR,43.12,80.86,75.03,1,1946-2025
114,MADAGASCAR,MDG,38.35,71.82,71.36,1,1946-2025
115,MALDIVES,MDV,38.71,78.81,72.05,1,1946-2025
116,MEXICO,MEX,49.47,78.83,76.82,1,1946-2025
119,MALI,MLI,36.74,79.53,77.69,1,1946-2025
120,MALTA,MLT,50.11,68.37,71.31,1,1946-2025
121,BURMA,MMR,42.13,77.12,72.66,1,1946-2025
123,MONGOLIA,MNG,37.99,77.22,84.93,1,1946-2025
124,MOZAMBIQUE,MOZ,31.25,78.94,76.28,1,1946-2025
125,MAURITANIA,MRT,37.64,77.16,73.33,1,1946-2025
126,MAURITIUS,MUS,39.16,76.47,72.6,1,1946-2025
127,MALAWI,MWI,43.15,58.31,54.1,1,1946-2025
128,FEDERATION OF MALAYA,MYS,45.08,83.29,77.88,1,1946-2025
129,NAMIBIA,NAM,38.66,83.11,69.43,1,1946-2025
130,NIGER,NER,38.16,71.68,67.34,1,1946-2025
131,NIGERIA,NGA,39.97,79.14,75.94,1,1946-2025
132,NICARAGUA,NIC,42.86,74.28,72.38,1,1946-2025
135,NEPAL,NPL,43.58,78.93,75.87,1,1946-2025
138,OMAN,OMN,39.7,82.62,76.27,1,1946-2025
139,PAKISTAN,PAK,44.52,83.05,78.31,1,1946-2025
140,PANAMA,PAN,50.76,73.4,71.28,1,1946-2025
141,PERU,PER,50.63,78.16,76.59,1,1946-2025
142,PHILIPPINE REPUBLIC,PHL,48.98,81.57,76.72,1,1946-2025
144,PAPUA NEW GUINEA,PNG,43.37,66.92,65.31,1,1946-2025
145,POLAND,POL,49.89,67.11,85.78,1,1946-2025
146,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,PRK,17.62,79.9,66.49,1,1946-2025
148,PARAGUAY,PRY,50.59,65.47,59.52,1,1946-2025
149,QATAR,QAT,40.28,82.12,77.26,1,1946-2025
150,ROMANIA,ROU,50.29,68.05,79.89,1,1946-2025
151,RUSSIAN FEDERATION,RUS,54.58,76.01,100.0,1,1946-2025
152,RWANDA,RWA,35.42,59.68,60.1,1,1946-2025
153,SAUDI ARABIA,SAU,40.45,78.81,75.73,1,1946-2025
155,SUDAN,SDN,38.47,79.93,76.17,1,1946-2025
156,SENEGAL,SEN,43.55,80.8,76.59,1,1946-2025
157,SINGAPORE,SGP,44.21,78.88,73.52,1,1946-2025
158,SOLOMON ISLANDS,SLB,35.79,58.48,55.54,1,1946-2025
159,SIERRA LEONE,SLE,39.59,72.5,69.72,1,1946-2025
160,EL SALVADOR,SLV,47.71,70.23,65.37,1,1946-2025
162,SOMALIA,SOM,29.16,57.02,55.78,1,1946-2025
163,SERBIA,SRB,58.35,68.23,77.15,1,1946-2025
165,SAO TOME AND PRINCIPE,STP,19.75,50.81,50.54,1,1946-2025
166,USSR,SUN,33.99,71.77,100.0,1,1946-2025
167,SURINAM,SUR,39.19,76.36,71.22,1,1946-2025
171,SWAZILAND,SWZ,35.78,61.22,57.96,1,1946-2025
172,SEYCHELLES,SYC,19.93,46.57,45.4,1,1946-2025
173,SYRIA,SYR,32.51,78.99,77.0,1,1946-2025
174,CHAD,TCD,36.08,63.92,61.47,1,1946-2025
175,TOGO,TGO,43.28,77.72,75.29,1,1946-2025
176,THAILAND,THA,47.93,80.62,76.46,1,1946-2025
177,TAJIKISTAN,TJK,38.33,65.84,64.9,1,1946-2025
178,TURKMENISTAN,TKM,24.73,54.31,49.63,1,1946-2025
179,TIMOR-LESTE,TLS,47.52,72.43,68.29,1,1946-2025
181,TRINIDAD AND TOBAGO,TTO,42.69,78.71,74.91,1,1946-2025
182,TUNISIA,TUN,42.71,81.33,77.53,1,1946-2025
183,TÜRKIYE,TUR,58.17,73.52,70.91,1,1946-2025
185,UNITED REPUBLIC OF TANZANIA,TZA,36.74,78.68,75.86,1,1946-2025
186,UGANDA,UGA,35.66,73.49,72.43,1,1946-2025
187,UKRAINE,UKR,46.45,69.31,86.98,1,1946-2025
188,URUGUAY,URY,53.21,75.03,72.47,1,1946-2025
190,UZBEKISTAN,UZB,38.75,57.77,58.16,1,1946-2025
191,SAINT VINCENT AND THE GRENADINES,VCT,32.4,62.57,57.39,1,1946-2025
192,VENEZUELA (BOLIVARIAN REPUBLIC OF),VEN,42.92,75.21,72.69,1,1946-2025
193,VIET NAM,VNM,29.09,82.38,79.99,1,1946-2025
194,VANUATU,VUT,37.26,56.08,55.34,1,1946-2025
195,SAMOA,WSM,44.93,63.55,62.27,1,1946-2025
196,YEMEN,YEM,35.63,77.35,74.8,1,1946-2025
197,DEMOCRATIC YEMEN,YMD,29.76,75.03,86.46,1,1946-2025
198,YUGOSLAVIA,YUG,35.08,62.17,70.96,1,1946-2025
199,SOUTH AFRICA,ZAF,29.49,47.53,39.44,1,1946-2025
200,ZAMBIA,ZMB,39.64,78.57,76.05,1,1946-2025
201,ZIMBABWE,ZWE,31.95,79.8,74.04,1,1946-2025
48,DOMINICA,DMA,21.01,36.27,32.85,2,1946-2025
53,ZANZIBAR,EAZ,0.0,0.0,0.0,2,1946-2025
96,KIRIBATI,KIR,32.33,28.91,25.0,2,1946-2025
164,SOUTH SUDAN,SSD,26.15,28.62,29.65,2,1946-2025
